index,expected,protocol_only,llm_only,hybrid,hybrid_risk,hybrid_score,llm_confidence,semantic_source
73,True,False,True,True,high,10,0.8,groq_llama
74,False,False,False,True,medium,5,0.5,groq_llama
75,False,False,False,False,low,0,0.0,groq_llama
76,True,False,True,True,high,12,0.8,groq_llama
77,False,False,False,False,low,0,0.0,groq_llama
78,False,False,False,True,medium,6,0.0,groq_llama
79,False,False,False,False,low,0,0.0,groq_llama
80,True,False,True,True,high,10,0.8,groq_llama
81,True,False,True,True,high,12,0.8,groq_llama
82,True,False,False,True,medium,5,0.0,groq_llama
83,False,False,True,True,high,8,0.8,groq_llama
84,False,False,False,False,low,0,0.0,groq_llama
85,True,False,True,True,high,10,0.8,groq_llama
86,False,False,False,False,low,0,1.0,groq_llama
87,True,False,True,True,high,10,0.8,groq_llama
88,False,False,False,False,low,0,0.0,groq_llama
89,True,False,True,True,high,8,0.8,groq_llama
90,True,False,True,True,high,10,0.8,groq_llama
91,False,False,False,False,low,0,1.0,groq_llama
92,False,False,False,False,low,1,0.0,groq_llama
93,True,False,True,True,high,10,0.8,groq_llama
94,True,False,True,True,high,10,0.8,groq_llama
95,False,False,False,False,low,1,0.0,groq_llama
96,False,False,False,False,low,0,0.0,groq_llama
97,True,False,True,True,high,10,0.8,groq_llama
98,True,False,True,True,high,12,0.8,groq_llama
99,False,False,False,True,medium,5,0.5,groq_llama
100,True,False,True,True,high,10,0.8,groq_llama
101,True,False,False,True,medium,5,0.5,groq_llama
102,False,False,False,False,low,1,0.0,groq_llama
103,False,False,False,False,low,0,0.0,groq_llama
104,False,False,False,False,low,1,1.0,groq_llama
105,False,False,False,False,low,0,0.0,groq_llama
106,True,False,True,True,high,8,0.8,groq_llama
107,True,False,True,True,high,11,0.8,groq_llama
108,False,False,False,True,medium,6,0.0,groq_llama
109,False,False,False,False,low,0,0.0,groq_llama
110,False,False,False,False,low,0,0.0,groq_llama
111,True,False,True,True,high,10,0.8,groq_llama
112,False,False,False,False,low,2,0.0,groq_llama
113,False,False,False,False,low,2,0.0,groq_llama
114,True,False,True,True,high,10,0.8,groq_llama
115,False,False,False,False,low,2,0.0,groq_llama
116,True,False,True,True,high,12,0.8,groq_llama
117,True,False,True,True,high,11,0.8,groq_llama
118,False,False,False,False,low,2,0.0,groq_llama
119,True,False,True,True,high,10,0.8,groq_llama
120,True,False,True,True,high,10,0.8,groq_llama
121,False,False,False,False,low,1,0.0,groq_llama
122,False,False,True,True,high,10,0.8,groq_llama
123,False,False,False,False,low,0,0.0,groq_llama
124,True,False,True,True,high,12,0.8,groq_llama
125,True,False,True,True,high,12,0.8,groq_llama
126,False,False,False,False,low,0,0.0,rule_based_fallback
127,False,False,False,False,low,0,0.0,groq_llama
128,True,False,True,True,high,12,1.0,groq_llama
129,True,False,True,True,high,10,0.8,groq_llama
130,False,False,False,False,low,0,0.0,groq_llama
131,True,False,True,True,high,12,0.8,groq_llama
132,True,False,True,True,high,12,0.8,groq_llama
133,False,False,False,False,low,0,0.0,groq_llama
134,True,False,False,True,medium,5,0.5,groq_llama
135,False,False,False,False,low,0,0.0,groq_llama
136,True,False,True,True,high,10,0.8,groq_llama
137,False,False,False,False,low,0,0.0,groq_llama
138,True,False,False,True,medium,5,0.5,groq_llama
139,False,False,False,False,low,0,0.0,groq_llama
140,False,False,False,True,medium,5,0.5,groq_llama
141,False,False,False,False,low,0,0.0,groq_llama
142,False,False,True,True,high,12,0.9,groq_llama
143,True,False,True,True,high,12,0.8,groq_llama
144,True,False,True,True,high,10,0.8,groq_llama
145,True,False,True,True,high,10,0.8,groq_llama
146,True,False,True,True,high,12,0.8,groq_llama
147,False,False,False,False,low,2,0.0,groq_llama
148,True,False,True,True,high,10,0.8,groq_llama
149,True,False,True,True,high,10,0.8,groq_llama
150,False,False,False,False,low,0,0.0,groq_llama
151,False,False,False,False,low,1,0.0,groq_llama
152,True,False,True,True,high,10,0.8,groq_llama
153,True,False,True,True,high,8,0.7,groq_llama
154,True,False,True,True,high,12,0.8,groq_llama
155,True,False,True,True,high,12,0.8,groq_llama
156,False,False,False,False,low,0,1.0,groq_llama
157,False,False,False,False,low,0,1.0,groq_llama
158,True,False,True,True,high,12,0.8,groq_llama
159,True,False,True,True,high,10,0.8,groq_llama
160,False,False,True,True,high,8,0.8,groq_llama
161,False,False,True,True,high,13,0.8,groq_llama
162,False,False,False,False,low,1,0.0,groq_llama
163,False,False,False,False,low,0,0.0,groq_llama
164,True,False,False,True,medium,5,0.0,groq_llama
165,True,False,False,False,low,0,0.0,rule_based_fallback
166,False,False,False,True,medium,5,0.5,groq_llama
167,True,False,True,True,high,12,0.8,groq_llama
168,False,False,False,False,low,0,0.0,groq_llama
169,True,False,True,True,high,12,0.8,groq_llama
170,True,False,True,True,high,10,0.8,groq_llama
171,True,False,True,True,high,8,0.7,groq_llama
172,True,False,True,True,high,7,0.7,groq_llama
173,True,False,True,True,high,10,0.8,groq_llama
174,False,False,False,False,low,1,0.0,groq_llama
175,False,False,False,False,low,0,0.0,groq_llama
176,False,False,False,False,low,0,0.0,groq_llama
177,True,False,False,True,medium,5,0.5,groq_llama
178,False,False,False,False,low,0,1.0,groq_llama
179,False,False,False,False,low,0,0.0,groq_llama
180,True,False,True,True,high,10,0.8,groq_llama
181,True,False,True,True,high,8,1.0,groq_llama
182,False,False,False,False,low,0,0.0,groq_llama
183,False,False,False,False,low,0,1.0,groq_llama
184,False,False,False,False,low,0,0.0,rule_based_fallback
185,False,False,False,False,low,0,0.0,groq_llama
186,True,False,True,True,high,10,0.8,groq_llama
187,False,False,False,True,medium,4,0.5,groq_llama
188,True,False,True,True,high,10,1.0,groq_llama
189,True,False,True,True,high,10,0.8,groq_llama
190,False,False,False,False,low,0,0.0,groq_llama
191,False,False,False,False,low,1,0.0,groq_llama
192,True,False,True,True,high,10,0.8,groq_llama
193,False,False,False,False,low,0,0.0,groq_llama
194,True,False,True,True,high,10,0.8,groq_llama
195,False,False,False,True,high,7,0.0,groq_llama
196,True,False,True,True,high,12,0.8,groq_llama
197,True,False,False,True,medium,5,0.0,groq_llama
198,False,False,False,False,low,0,0.0,groq_llama
199,False,False,False,True,medium,5,0.5,groq_llama
