index,expected,predicted,correct,risk,score,semantic_source,llm_confidence,reason
31,True,True,True,high,12,groq_llama,0.8,"Urgency is not explicitly mentioned, but the tone is persuasive and attention-grabbing | The email uses a personal and relatable scenario to build trust | The language is informal and colloquial, which is unusual for a legitimate business email | The email does not explicitly ask for credentials, but it may be a phishing attempt to gather personal information | The sender's email address is not a typical business email address, and the name 'Isabel Carr' is not associated with any known legitimate business"
32,True,True,True,medium,5,groq_llama,0.5,"Urgency is not explicitly stated, but the use of 'Protected message' may imply a sense of importance | The sender's email address is from a legitimate company (Davivienda), but the sender's name is not a standard company name | The email's subject and body suggest a secure message, but the sender's name and email address combination is unusual"
33,True,True,True,high,12,groq_llama,0.8,"Urgency to update payment information to prevent ads from being suspended | Request to sign into account to update payment information | Impersonation of Google AdWords | The email creates a sense of urgency and asks the recipient to sign into their account, which could be a phishing attempt."
34,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider | The email appears to be a genuine patch update notification from a developer.
35,False,False,True,low,0,groq_llama,0.0,The email appears to be a genuine discussion about laptop options and does not contain any suspicious language or intent.
36,False,False,True,low,0,groq_llama,0.0,
37,False,False,True,low,0,groq_llama,0.0,
38,False,True,False,high,12,groq_llama,0.8,"Urgency: The email mentions a spam issue that needs to be addressed immediately. | Impersonation: The email is written in a way that makes it seem like a genuine discussion about a spam issue, but it may be a phishing attempt. | Social Engineering: The email tries to create a sense of community by addressing 'all' and using a casual tone. | The email contains links to blogspot domains, which could be used to steal credentials or spread malware. | The email is written in a way that makes it seem like a genuine discussion about a spam issue, but it may be a phishing attempt."
39,True,True,True,medium,5,groq_llama,0.0,"Urgency is not present in the email, but it contains a large amount of links to various news articles, which could be used to spread malware or phishing attacks. | The email is impersonating CNN.com, but the sender's email address is not a legitimate CNN.com email address. | The email contains a large amount of links to various news articles, which could be used to spread malware or phishing attacks. Additionally, the sender's email address is not a legitimate CNN.com email address."
40,True,True,True,high,11,groq_llama,0.8,"Sender email is missing | Threat of regret to create a sense of urgency | Use of a generic threat to create fear | Lack of sender information (Chope <> is not a valid email address) | The email contains a suspicious link and a generic threat to create a sense of urgency, and the sender is not a valid email address."
41,False,False,True,low,1,groq_llama,0.0,"Sender uses a free email provider | The email appears to be a genuine conversation thread about a feature suggestion, with no signs of phishing or malicious intent."
42,True,True,True,high,9,groq_llama,1.0,"Sender email is missing | Urgency: None | Threat: None | Impersonation: None | Urgency and Threat indicators are missing, but the email contains a suspicious and explicit subject line and body."
43,True,True,True,high,10,groq_llama,0.8,"Urgency (price drop) | Greed-based appeal (Luxury isnt a sin) | Lack of personalization | Suspicious sender email (FannyharpTackett@kdhnews.com) | Impersonation of luxury watch brands (Rolex, JaegerLeCoultre, Tag Heuer)"
44,False,False,True,low,0,groq_llama,0.0,
45,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider | The email is a legitimate discussion on a mailing list and does not contain any suspicious language or intent.
46,True,True,True,high,12,groq_llama,0.8,"Urgency (limited offer until 30th of September) | Personal interest (health and personal life) | Lack of professionalism (informal greeting and closing) | Impersonation of a company (herrespectcom) | Suspicious link (none provided, but a link is mentioned)"
47,True,True,True,high,10,groq_llama,0.8,"Urgency (SAVE Big!) | Implication of a deal that is too good to be true (999 inc delivery) | Use of a well-known brand (Rolex) to create a sense of legitimacy | Impersonation of a person (Kenneth Johnson) with a suspicious email address (JamesbudweiserGarcia@merriam-webster.com) | The email uses social engineering tactics to create a sense of urgency and legitimacy, and the sender's email address is suspicious."
48,False,True,False,high,12,groq_llama,0.8,"Urgency: The email asks the recipient to follow the sender on Twitter and send a direct message within a short time frame. | Impersonation: The email is sent from a Twitter account but claims to be from SpamExperts, a different company. | Social Engineering: The email asks the recipient to turn off email notifications, which could be a tactic to gain trust and access to the recipient's account. | The email asks the recipient to send a direct message from their phone or IM, which could potentially be used to steal credentials. | The email is sent from a Twitter account but claims to be from SpamExperts, a different company."
49,True,True,True,medium,5,groq_llama,0.0,"Urgency is not explicitly mentioned, but the email is trying to engage the user with a list of top 10 videos and stories. | The sender's email address is not a legitimate CNN email address, but rather a communityhospice.com email address. | The email is trying to impersonate CNN, but the sender's email address is not legitimate."
50,False,False,True,low,0,rule_based_fallback,0.0,"Fallback rule-based semantic analysis used. Error: Error code: 413 - {'error': {'message': 'Request too large for model `llama-3.1-8b-instant` in organization `org_01kttv52w2e3j8empj554mdk6k` service tier `on_demand` on tokens per minute (TPM): Limit 6000, Requested 7414, please reduce your message size and try again. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
51,False,False,True,low,0,groq_llama,0.0,
52,True,True,True,high,12,groq_llama,0.8,"Urgency: The email creates a sense of urgency by not providing a clear reason for the alert. | Impersonation: The email is impersonating CNN, but the sender's email address is suspicious (Greger-runsasv{@protibet.org). | Lack of personalization: The email address is not personalized, which is unusual for a custom alert. | The email asks the recipient to click on a link to manage their settings, which could potentially lead to phishing. | The email is impersonating CNN, but the sender's email address is suspicious (Greger-runsasv{@protibet.org)."
53,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider | The email is a legitimate discussion on a mailing list and does not contain any suspicious language or intent.
54,False,False,True,low,0,groq_llama,0.0,
55,True,True,True,high,12,groq_llama,0.8,"Urgency: The email creates a sense of urgency by mentioning a limited-time offer. | Personalization: The email uses a seemingly personalized greeting, but the recipient's name is actually a hash value. | Lack of context: The email's subject and body do not provide any clear context about the sender's identity or purpose. | Phishing link: The email contains a suspicious link that may be used for phishing or credential theft. | Impersonation: The email may be an attempt to impersonate a legitimate company or service, as it uses a generic greeting and a vague offer."
56,False,False,True,low,0,groq_llama,0.0,The email appears to be a legitimate project update from a mailing list.
57,True,True,True,high,12,groq_llama,0.8,Urgency is implied by the use of 'Exclusive' | The email uses a vague and enticing subject line | The sender's email address is suspicious and may be spoofed | The email may be a phishing attempt to steal login credentials | The email may be impersonating a legitimate medical organization
58,False,False,True,low,0,groq_llama,0.0,
59,True,True,True,high,10,groq_llama,0.8,"Urgency and sensational language to grab attention | Promise of unrealistic results (increasing manhood in a few weeks) | Use of surveys as a credibility indicator (likely fabricated) | Impersonation of a medical professional (Jeffry Rich) or a reputable organization (docbook.org) | The email uses sensational language and makes unrealistic promises to sell a product, and may be attempting to impersonate a medical professional or reputable organization."
60,False,False,True,low,2,groq_llama,0.0,"{'indicator': 'The email is from an address that may be spoofed (xqldp@catherders.com) or not a well-known domain', 'confidence': 0.5} | The email discusses a legitimate issue with spam and provides a valid reason for the recipient to be cautious with their email."
61,True,True,True,high,10,groq_llama,0.8,"Urgency: The email creates a sense of urgency with the phrase 'I will die if you do not help me now'. | Threat: The email implies a threat if the recipient does not take action. | Impersonation: The email is impersonating CNN, but the sender's email address is not a legitimate CNN email address. | The email is impersonating CNN, but the sender's email address is not a legitimate CNN email address. | The email's language and content are suspicious, and it may be a phishing attempt."
62,True,True,True,high,8,groq_llama,0.7,"Urgency is implied but not explicitly stated | The email uses a common health issue (ED) to grab attention | The email promises a solution to a common problem | The sender's email address is not a typical corporate email address | The email's language and intent are designed to grab attention and encourage the recipient to visit a website, which could be a phishing site."
63,True,True,True,high,10,groq_llama,0.8,"Urgency is implied with the phrase 'Good Bye' | The email uses a sense of authority with the mention of reputable news sources (CNN, BBC, OPRAH, CBS) | The email uses a sense of exclusivity with the phrase 'the Miracle Weight Loss Supplement of the new century' | The sender's email address is from a university domain, which could be a legitimate email address, but the content of the email is suspicious | The email's content and structure are designed to create a sense of urgency and authority, which is a common tactic used in phishing emails."
64,True,True,True,high,10,groq_llama,0.8,Urgency is implied but not explicitly stated | Emotional appeal (satisfy your lover) | Sense of exclusivity (once you tried 100 safe VPXL) | Sense of guaranteed results | Lack of personalization or relevance to the recipient
65,False,False,True,low,0,groq_llama,0.0,"The email appears to be a genuine discussion on a mailing list, with no signs of phishing or malicious intent."
66,True,True,True,high,10,groq_llama,0.8,Urgency is implied by the use of 'permanent discounts' | The email tries to create a sense of trust by mentioning 'famous' and 'legal' pharmacies | The use of 'CHEAP pills' is an attempt to create a sense of urgency and desire | The sender's email address is not a typical domain for a pharmacy | The email does not clearly state the sender's identity or affiliation
67,False,False,True,low,0,rule_based_fallback,0.0,"Fallback rule-based semantic analysis used. Error: Expecting ',' delimiter: line 16 column 16 (char 503)"
68,True,True,True,high,12,groq_llama,0.8,"Urgency: The email tries to create a sense of urgency by not providing a clear reason for the immediate action. | Impersonation: The sender's email address does not match the typical format of a company or organization. | Suspicious subject: The subject line contains a product name and a generic term, which could be a tactic to bypass spam filters. | The email contains a link to a potentially malicious website, which could be used to steal credentials. | The sender's email address does not match the typical format of a company or organization."
69,False,False,True,low,0,groq_llama,0.0,
70,True,True,True,high,12,groq_llama,0.8,"Urgency: The email tries to create a sense of urgency by providing a list of top 10 news stories. | Impersonation: The email is impersonating CNN.com, but the sender's email address is suspicious. | Lack of personalization: The email does not address the recipient by name, which is unusual for a news organization like CNN.com. | The email contains a link to manage settings, which could be a phishing attempt to steal login credentials. | The email is impersonating CNN.com, but the sender's email address is suspicious."
71,False,False,True,low,2,groq_llama,0.0,"{'indicator': 'The email is from an unknown sender (Constant Brouerius van Nidek <tskfjdim@indo.net.id>)', 'confidence': 0.5} | The email is a genuine inquiry for help with a technical issue, but the sender is unknown."
72,False,False,True,low,0,groq_llama,0.0,
73,True,True,True,high,10,groq_llama,0.8,"Urgency: The email tries to create a sense of urgency by providing a list of top 10 videos and stories, which may encourage the recipient to click on the links without verifying their authenticity. | Impersonation: The email is impersonating CNN.com, but the sender's email address is not a legitimate CNN.com email address (balcita_1967@melonjello.com). | The email is semantically suspicious due to its attempt to impersonate CNN.com and create a sense of urgency."
74,False,True,False,medium,5,groq_llama,0.5,"Urgency: The email creates a sense of urgency by mentioning a 'critical' outage. | Impersonation: The email is impersonating a news source (CNET News.com) to gain trust. | The email is impersonating a news source (CNET News.com) to gain trust. | The email is impersonating a legitimate company (RIM) to create a sense of authenticity. | The email's language and intent are suspicious, as it is trying to create a sense of urgency and impersonate a legitimate news source."
75,False,False,True,low,0,groq_llama,0.0,The email appears to be a legitimate academic call for papers and does not exhibit any suspicious language or intent.
76,True,True,True,high,12,groq_llama,0.8,Urgency (implied by 'Fast Cash Payday Loans') | Lack of personalization (addressing recipient as 'East Coast to the West Coast or anywhere in between') | Suspicious link (httploanfinanccom) | Request for financial information (implied by 'apply for Fast Cash Payday Loans') | Impersonation of a legitimate financial institution (Payday Loans)
77,False,False,True,low,0,groq_llama,0.0,
78,False,True,False,medium,6,groq_llama,0.0,"Sender uses a free email provider | The email asks for help, which is a common tactic used in phishing emails to gain trust. | The email is from a Gmail account, but the sender claims to be a user of SquirrelMail, which could be a fake identity. | The email's content and sender's identity are inconsistent, and it asks for help, which is a common phishing tactic."
79,False,False,True,low,0,groq_llama,0.0,
80,True,True,True,high,10,groq_llama,0.8,"Urgency: The email creates a sense of urgency by stating 'Dont wait anymore to implement these changes'. | Social Engineering: The email uses a social engineering tactic by appealing to the recipient's desire for 'masculine power enhancement'. | Grammar and Spelling: The email contains grammatical errors and typos, which is uncommon in legitimate emails. | Impersonation: The email is sent from a sender claiming to be 'Mindy Hutchison' but the domain 'axa.de' is not associated with the name 'Mindy Hutchison'. | Domain Spoofing: The email domain 'axa.de' is a legitimate domain, but it's being used in a suspicious context."
81,True,True,True,high,12,groq_llama,0.8,Urgency: None | Threat: None | Impersonation: The email is trying to impersonate a person (Katerina) for a dating purpose | Social Engineering: The email is trying to trick the recipient into clicking on a suspicious link | None
82,True,True,True,medium,5,groq_llama,0.0,"Urgency is not present in the email, but it's trying to engage the user with a list of top 10 stories. | The email is impersonating CNN.com, but the sender's email address is not a legitimate CNN.com address. | The email is trying to engage the user with a list of top 10 stories, but it's not a legitimate email from CNN.com."
83,False,True,False,high,8,groq_llama,0.7,"Urgency to cancel posting | Request to visit a URL for confirmation | Impersonation of Python-3000 list moderator | The email creates a sense of urgency and requests the user to visit a URL for confirmation, which could be a phishing attempt."
84,False,False,True,low,0,groq_llama,0.0,
85,True,True,True,high,10,groq_llama,0.8,"Urgency: The email creates a sense of urgency with the phrase 'Try it today'. | Social Proof: The email uses a phrase 'you have nothing to lose just a lot to gain' to create a false sense of security. | Emotional Manipulation: The email uses a sensational topic to emotionally manipulate the recipient. | Impersonation: The email does not appear to be from a legitimate sender, and the sender's email address is suspicious. | The email's subject and body suggest a phishing attempt, and the sender's email address is suspicious."
86,False,False,True,low,0,groq_llama,1.0,The email is a legitimate discussion on a mailing list and does not contain any suspicious language or intent.
87,True,True,True,high,10,groq_llama,0.8,Urgency: None | Threat: None | Impersonation: None | Language: Informal and promotional | Intent: Sales or scam
88,False,False,True,low,0,groq_llama,0.0,
89,True,True,True,high,8,groq_llama,0.8,"Urgency and threats to deploy something | Use of a personal and intimate topic to gain attention | Use of a link to a potentially malicious website | The email contains suspicious language and intent, likely attempting to socially engineer the recipient into clicking on a malicious link."
90,True,True,True,high,10,groq_llama,0.8,"Urgency is implied by the promise of 'incredible and quick gains' | The email uses a sensational and exaggerated tone to grab attention | The email promises a 'guaranteed' result, which is a common tactic used in phishing emails | The sender's name is Eric Gonzalez, but the email address is not associated with this name | The email address is not a legitimate business email address"
91,False,False,True,low,0,groq_llama,1.0,
92,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider
93,True,True,True,high,10,groq_llama,0.8,Urgency (limited-time offer) | Personal life and health concern to create a sense of trust | Impersonal greeting (Dear b397284a3ba289837e5fd86e84cf6dbe) | Impersonal greeting (Dear b397284a3ba289837e5fd86e84cf6dbe) | Unusual sender name (carlo jonah) and email address (cedric1@orange.fr)
94,True,True,True,high,10,groq_llama,0.8,Urgency is implied with 'quick shipment' | Emotional appeal with 'safe and convinient shopping' | Lack of personalization with generic greeting | Impersonation of a pharmacy or chemist shop | Use of a suspicious email address 'djohnson2@smurfit.com'
95,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider
96,False,False,True,low,0,groq_llama,0.0,
97,True,True,True,high,10,groq_llama,0.8,"Urgency is implied with the phrase 'Finally your new healthy life' | The use of a generic greeting and a vague promise to 'Find your love stick gain here' | The presence of a suspicious link with a random URL | The sender claims to be 'administrator@aba-uk.org', but the email content is unrelated to the organization's typical communication | The email's language and content are overly promotional and lack clarity, indicating potential phishing intent."
98,True,True,True,high,12,groq_llama,0.8,Urgency is implied by the subject line 'MoreinfoNewProductsSoftTabs' | The sender is using a generic email address that may be spoofed | The email body contains a suspicious link that may be a phishing attempt | The email may be attempting to trick the recipient into revealing sensitive information | The sender's email address may be spoofed to impersonate a legitimate company or individual
99,False,True,False,medium,5,groq_llama,0.5,"Urgency is not explicitly mentioned, but the tone is playful and attention-grabbing | The email asks the recipient to click on a link to update their details, which could be a phishing attempt | The sender's email address is 'uiaregi@hell.co.nz', which may be a spoofed email address | The email's subject and body are attention-grabbing and may be attempting to social engineer the recipient"
100,True,True,True,high,10,groq_llama,0.8,"Urgency is implied by the promise of 'amazing growth within just a few short weeks' | The email uses a sensational and attention-grabbing subject line and body | The email tries to create a sense of FOMO (fear of missing out) by implying that traditional methods don't work | The sender's email address appears to be spoofed (CristinadrowsyWaddell@hiltoncc.com) and does not match the display name (Meredith Dupree) | The email's language and intent are designed to manipulate the recipient into clicking on a link or taking some other action, and the impersonation indicator suggests that the sender may be trying to trick the recipient into divulging sensitive information."
101,True,True,True,medium,5,groq_llama,0.5,"Lack of personalization in the greeting | Generic subject line | Unverified sender email address | The email has a generic subject line and lacks personalization, which could be indicative of a phishing attempt. Additionally, the sender's email address is unverified."
102,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider
103,False,False,True,low,0,groq_llama,0.0,
104,False,False,True,low,1,groq_llama,1.0,Sender uses a free email provider | The email appears to be a genuine discussion thread from a community forum.
105,False,False,True,low,0,groq_llama,0.0,The email appears to be a legitimate call for papers for a conference.
106,True,True,True,high,8,groq_llama,0.8,"Urgency is not present, but the email is trying to create a sense of interest with a provocative subject line. | The email is using a generic and attention-grabbing phrase to entice the recipient. | The email's subject line and body are attempting to create a sense of interest and curiosity, which is a common tactic used in phishing emails."
107,True,True,True,high,11,groq_llama,0.8,"Sender email is missing | Urgency is not explicitly mentioned, but the promise of immediate attraction may create a sense of urgency in the recipient's mind. | The email uses a sensational and attention-grabbing subject line and body to create a sense of excitement and curiosity. | The sender's email address is not a legitimate email address, it's likely a fake or spoofed address. | The email contains a suspicious link and the sender's email address is not legitimate."
108,False,True,False,medium,6,groq_llama,0.0,"Sender uses a free email provider | The email contains a conversation thread with ambiguous and unclear language. | The sender is trying to gauge the recipient's opinion on a movie, which could be a tactic to build rapport and gain trust. | The email is from a sender with a Gmail address, but the conversation thread suggests a personal relationship with the recipient. | The sender's email address is not clearly linked to a legitimate organization or company."
109,False,False,True,low,0,groq_llama,0.0,
110,False,False,True,low,0,groq_llama,0.0,
111,True,True,True,high,10,groq_llama,0.8,Urgency (limited proposal until 30th of October) | Personal life and health concern to create a sense of trust | Impersonal greeting (Dear bbaf0d8f5091008654f086221f7bb1f9) | Unusual sender name (abeu iago) and email address (shimaree@tnics.net) | Suspicious link (traditionstreetcom)
112,False,False,True,low,2,groq_llama,0.0,"{'indicator': ""The email is from a sender with a potentially legitimate email address (cpan.org) but the name 'Jerry D. Hedden' could be a red herring.""} | The email appears to be a legitimate discussion about a patch for a Perl issue."
113,False,False,True,low,2,groq_llama,0.0,"{'indicator': 'The email is from a sender with a potentially fake email address (passdelwx@gmx.de) that does not match the displayed name (A. Pagaltzis)'} | The email is a discussion about Perl 5 and Perl 6, and does not contain any suspicious language or intent."
114,True,True,True,high,10,groq_llama,0.8,"Urgency is implied by the use of 'absolutely reasonable' to create a sense of FOMO (fear of missing out) | The sender's email address is from a non-standard domain (lille.iufm.fr), which may be a spoofed address | The email contains a suspicious link and a potential phishing attempt"
115,False,False,True,low,2,groq_llama,0.0,"{'indicator': ""The sender's email address 'kzrffxg@fandomhome.com' does not match the name 'Michael R. Bernstein'"", 'confidence': 0.8} | The sender's email address does not match the name, which could be an impersonation attempt."
116,True,True,True,high,12,groq_llama,0.8,"Urgency is not explicitly stated, but the email is trying to engage the user with a sense of curiosity and interest in current events. | The email is trying to create a sense of FOMO (fear of missing out) by providing a list of top 10 videos and stories. | The email is trying to create a sense of trust by using the CNN logo and branding. | The email contains a link to manage settings, which could potentially be used to phish for credentials. | The email contains a link to unsubscribe, which could potentially be used to phish for credentials."
117,True,True,True,high,11,groq_llama,0.8,Sender email is missing | Urgency is implied by the use of a sensational subject line and a link to a potentially attractive offer | The email attempts to create a sense of FOMO (fear of missing out) by implying that women will do anything for the ice cream | The sender's email address is likely spoofed and does not match a legitimate email address | The email's language and intent are likely to deceive the recipient into clicking on a malicious link or providing sensitive information
118,False,False,True,low,2,groq_llama,0.0,"{'indicator': 'The email is from a mailing list (PythonDev) and not a personal account', 'confidence': 0.5} | The email is discussing a technical topic and does not contain any suspicious language or requests."
119,True,True,True,high,10,groq_llama,0.8,"Urgency is not explicitly mentioned, but the use of 'Enormous choice' might create a sense of excitement and encourage the user to click on a link. | The email contains a suspicious link with a misspelled URL (httppickrealcom) and a potential typo in the domain name (pickrealcom). | The sender claims to be Lara Souza, but the domain name (ceo-ag.de) does not seem to be related to a well-known company or a personal email address. | The email contains a suspicious link and the sender's email address seems to be impersonating a CEO."
120,True,True,True,high,10,groq_llama,0.8,"Urgency is implied but not explicitly stated | Use of sensational language (e.g. 'swell in length and width immensely') | Use of a well-known publication (The Daily Mail) to add credibility | The email does not explicitly impersonate a known entity, but the sender's email address is from a legitimate-looking domain (newberg.k12.or.us) | The email's language and content are overly promotional and lack a clear call to action, which is unusual for a legitimate email."
121,False,False,True,low,1,groq_llama,0.0,Sender uses a free email provider
122,False,True,False,high,10,groq_llama,0.8,Offtopic would people from this list like to meet up for a drink in NovemberDecmeber | Want an email address like mine Get a free email account today at wwwmailcom | The email contains a suspicious link and a phishing attempt to steal email addresses.
123,False,False,True,low,0,groq_llama,0.0,
124,True,True,True,high,12,groq_llama,0.8,Urgency and threat to male power | Emotional appeal to love and competence | Use of a well-known company (Microsoft) to add credibility | Link to a potentially malicious website (httpdearcancom) | Impersonation of a company (Microsoft) or a person (Boris Petty)
125,True,True,True,high,12,groq_llama,0.8,"Urgency is not explicitly stated, but the use of 'Delightsome' and 'Excellentmade' may be intended to create a sense of excitement and trust. | The email contains a suspicious link, although it's not provided in the email body. | The email may be attempting to steal credentials through phishing, as it's trying to lure the user to a potentially malicious website. | The sender's email address, NickgrenoblePage@wileyrein.com, may be spoofed, as it appears to be from a legitimate company (Wiley Rein), but the username is unusual. | The email contains suspicious language and may be attempting to steal credentials through phishing."
126,False,False,True,low,0,rule_based_fallback,0.0,Fallback rule-based semantic analysis used. Error: Unterminated string starting at: line 169 column 5 (char 7484)
127,False,False,True,low,0,groq_llama,0.0,
